,ano,mes,variavel,media,min,max,desvio
0,1991,1,Ia,"1,556445361",0,"28,16399287","4,81125697"
1,1991,2,Ia,"22,10011315",0,"62,11121583","13,26860985"
2,1991,3,Ia,"18,09293123",0,"59,6214511","16,70838342"
3,1991,4,Ia,"3,31061244",0,"39,43139679","6,06781177"
4,1991,5,Ia,"17,1381106",0,"69,58598726","11,21507068"
5,1991,6,Ia,0,0,0,0
6,1991,7,Ia,"22,40240654","8,564231738","49,8245614","4,560310016"
7,1991,8,Ia,"59,4506006","12,16080402","119,8019802","22,35397802"
8,1991,9,Ia,"6,298196758",0,"71,84822521","13,05424404"
9,1991,10,Ia,"23,01874865",0,"69,73947896","14,54797471"
10,1991,11,Ia,"12,13029643",0,"47,74774775","12,70010533"
11,1991,12,Ia,0,0,0,0
12,1992,1,Ia,"15,19450315",0,50,"10,03458234"
13,1992,2,Ia,0,0,0,0
14,1992,3,Ia,0,0,0,0
15,1992,4,Ia,"0,02586917627",0,"5,628272251","0,347387618"
16,1992,5,Ia,0,0,0,0
17,1992,6,Ia,"9,069997173",0,"47,07158351","9,809870491"
18,1992,7,Ia,"1,203665157",0,"58,72093023","5,750366209"
19,1992,8,Ia,"13,53830745",0,"87,73722628","17,01205515"
20,1992,9,Ia,"4,620923684",0,"61,37281292","9,449721853"
21,1992,10,Ia,0,0,0,0
22,1992,11,Ia,"9,373961991",0,"34,03614458","5,801240855"
23,1992,12,Ia,"33,90039177","7,678018576","60,25437202","7,905141243"
24,1993,1,Ia,"0,2458993441",0,"10,58495822","1,042395798"
25,1993,2,Ia,"10,97451827",0,"63,3254717","13,17470593"
26,1993,3,Ia,"3,52504307",0,"39,95983936","7,583336054"
27,1993,4,Ia,"16,10986355",0,"78,49872774","21,76552217"
28,1993,5,Ia,0,0,0,0
29,1993,6,Ia,0,0,0,0
30,1993,7,Ia,"2,742337078",0,"54,75728155","7,935434608"
31,1993,8,Ia,"35,18291973",0,"72,23001403","14,64331301"
32,1993,9,Ia,0,0,0,0
33,1993,10,Ia,0,0,0,0
34,1993,11,Ia,"3,50004513",0,"18,38602329","3,003485788"
35,1993,12,Ia,"0,9721258883",0,"25,54806071","2,644555411"
36,1994,1,Ia,"5,345484123",0,"49,7700092","9,59328224"
37,1994,2,Ia,0,0,0,0
38,1994,3,Ia,"22,80156695",0,"58,66261398","11,19934607"
39,1994,4,Ia,"5,112582479",0,"43,2605905","7,790322825"
40,1994,5,Ia,"0,8541706721",0,"37,26812816","3,176315706"
41,1994,6,Ia,0,0,0,0
42,1994,7,Ia,"7,061777337",0,"97,56097561","13,13066784"
43,1994,8,Ia,"56,77059687","23,87774594","120,7084469","17,03350001"
44,1994,9,Ia,"15,09135946",0,"130,9808612","33,27147956"
45,1994,10,Ia,0,0,0,0
46,1994,11,Ia,"35,42125862",0,"103,2850242","25,13178755"
47,1994,12,Ia,0,0,0,0
48,1995,1,Ia,0,0,0,0
49,1995,2,Ia,0,0,0,0
50,1995,3,Ia,"0,1681765846",0,"8,191489362","0,7474424971"
51,1995,4,Ia,"14,10477104",0,"40,09489917","6,375422066"
52,1995,5,Ia,"29,74952304","5,503355705","60,63651591","11,04113166"
53,1995,6,Ia,"0,7329336384",0,"27,17391304","2,806057106"
54,1995,7,Ia,"6,45756693",0,"56,66041276","9,062573025"
55,1995,8,Ia,"49,27941257","14,08450704","117,0928668","22,29166386"
56,1995,9,Ia,"0,4100791757",0,"31,25","2,543688862"
57,1995,10,Ia,0,0,0,0
58,1995,11,Ia,"35,91920488","12,56578947","77,79799818","13,93578394"
59,1995,12,Ia,"5,134572848",0,"33,3619211","5,785289469"
60,1996,1,Ia,0,0,0,0
61,1996,2,Ia,0,0,0,0
62,1996,3,Ia,0,0,0,0
63,1996,4,Ia,"14,11362171",0,"32,48484848","3,633664093"
64,1996,5,Ia,"11,38913208",0,"54,33628319","12,20601419"
65,1996,6,Ia,"13,93519988",0,"90,47619048","18,19930245"
66,1996,7,Ia,"52,46111542","3,93258427","113,8519924","26,22305799"
67,1996,8,Ia,"56,42839665","16,11687088","99,17582418","11,48100007"
68,1996,9,Ia,"0,02834963249",0,"5,80474934","0,337757941"
69,1996,10,Ia,0,0,0,0
70,1996,11,Ia,"4,660578938",0,"27,3512476","6,180386611"
71,1996,12,Ia,0,0,0,0
72,1997,1,Ia,0,0,0,0
73,1997,2,Ia,0,0,0,0
74,1997,3,Ia,"23,18054937","9,822119103","43,22519084","5,715239512"
75,1997,4,Ia,"25,9824629","3,2873807","49,5049505","6,998198132"
76,1997,5,Ia,"0,6112365502",0,"31,18811881","3,104678714"
77,1997,6,Ia,0,0,0,0
78,1997,7,Ia,"6,653560279",0,"67,26618705","7,13348562"
79,1997,8,Ia,"23,22827827","2,596153846","83,92370572","13,78843108"
80,1997,9,Ia,"8,165593562",0,"68,70229008","12,99780497"
81,1997,10,Ia,"0,00008266875108",0,"2,764976959","0,04218297678"
82,1997,11,Ia,0,0,0,0
83,1997,12,Ia,"0,00783548918",0,"3,345070423","0,1338570745"
84,1998,1,Ia,"9,138025237",0,"40,70872947","6,134308476"
85,1998,2,Ia,0,0,0,0
86,1998,3,Ia,0,0,0,0
87,1998,4,Ia,0,0,0,0
88,1998,5,Ia,"0,01356505337",0,"5,555555556","0,2576926821"
89,1998,6,Ia,"8,319188954",0,"44,60580913","7,977622027"
90,1998,7,Ia,"7,505663436",0,"76,79558011","10,38768275"
