,ano,mes,variavel,media,min,max,desvio
0,1991,1,Ia,0,0,0,0
1,1991,2,Ia,"28,58534967","9,688581315","54,06360424","9,950801094"
2,1991,3,Ia,"21,25606647",0,"49,5049505","11,88713251"
3,1991,4,Ia,"1,371845989",0,"18,4501845","3,362194294"
4,1991,5,Ia,"8,298587511",0,"39,20972644","10,77006092"
5,1991,6,Ia,0,0,0,0
6,1991,7,Ia,"11,94955987",0,"25,58922559","7,009652419"
7,1991,8,Ia,"48,83681871","14,16216216","98,1981982","18,29356203"
8,1991,9,Ia,"0,007348485076",0,"3,579676674","0,1639363675"
9,1991,10,Ia,"4,12403462",0,"35,43457498","6,695355991"
10,1991,11,Ia,"10,52988307",0,"38,97477624","7,026120647"
11,1991,12,Ia,0,0,0,0
12,1992,1,Ia,"2,789134786",0,"18,93353941","5,471284967"
13,1992,2,Ia,0,0,0,0
14,1992,3,Ia,0,0,0,0
15,1992,4,Ia,0,0,0,0
16,1992,5,Ia,0,0,0,0
17,1992,6,Ia,"1,18678884",0,"15,58935361","2,934033628"
18,1992,7,Ia,0,0,0,0
19,1992,8,Ia,"1,209681388",0,"15,18987342","3,057072164"
20,1992,9,Ia,"0,003948587185",0,"1,627033792","0,08487540197"
21,1992,10,Ia,0,0,0,0
22,1992,11,Ia,"9,188887856","0,5139500734","27,58928571","4,060997053"
23,1992,12,Ia,"26,58353043","10,80760095","46,23976173","5,593847375"
24,1993,1,Ia,0,0,0,0
25,1993,2,Ia,"11,27093011",0,"45,53571429","8,318122459"
26,1993,3,Ia,"0,1508405017",0,"10,80277502","0,9486398868"
27,1993,4,Ia,"19,94251906",0,"74,11167513","18,15115919"
28,1993,5,Ia,0,0,0,0
29,1993,6,Ia,0,0,0,0
30,1993,7,Ia,0,0,0,0
31,1993,8,Ia,"29,65477601","16,79473106","52,65251989","7,934704277"
32,1993,9,Ia,0,0,0,0
33,1993,10,Ia,0,0,0,0
34,1993,11,Ia,"2,761696622",0,"14,11320755","3,028921905"
35,1993,12,Ia,"1,071406509",0,"10,14604151","2,012006615"
36,1994,1,Ia,"4,046230964",0,"29,205807","5,996264483"
37,1994,2,Ia,0,0,0,0
38,1994,3,Ia,"17,21891124","6,907894737","35,46234509","5,378475361"
39,1994,4,Ia,"1,077431778",0,"16,26120359","2,843782604"
40,1994,5,Ia,0,0,0,0
41,1994,6,Ia,0,0,0,0
42,1994,7,Ia,"0,09098904196",0,"11,31447587","0,9273699745"
43,1994,8,Ia,"33,83336612","16,56504065","62,05191595","9,913868649"
44,1994,9,Ia,0,0,0,0
45,1994,10,Ia,0,0,0,0
46,1994,11,Ia,"10,82779435",0,"56,91906005","16,80885726"
47,1994,12,Ia,0,0,0,0
48,1995,1,Ia,0,0,0,0
49,1995,2,Ia,0,0,0,0
50,1995,3,Ia,"0,02997173521",0,"3,015075377","0,2041294706"
51,1995,4,Ia,"5,480097346",0,"21,93396226","6,753443303"
52,1995,5,Ia,"24,17933138","14,6627566","47,49568221","5,773531473"
53,1995,6,Ia,"1,75173412",0,"16,2109375","3,418842413"
54,1995,7,Ia,"3,500389494",0,"28,30188679","5,554235603"
55,1995,8,Ia,"35,97313083","9,85915493","87,83783784","19,28603173"
56,1995,9,Ia,0,0,0,0
57,1995,10,Ia,0,0,0,0
58,1995,11,Ia,"46,24059289","14,36430318","72,3880597","11,1373817"
59,1995,12,Ia,"8,215315166",0,"35,76","8,523264378"
60,1996,1,Ia,0,0,0,0
61,1996,2,Ia,0,0,0,0
62,1996,3,Ia,0,0,0,0
63,1996,4,Ia,"9,999820094",0,"21,90132371","5,372947691"
64,1996,5,Ia,"7,635590353",0,"32,66423358","9,522287566"
65,1996,6,Ia,"0,5682553134",0,"24,20091324","2,52211452"
66,1996,7,Ia,"16,41310147",0,"81,10687023","20,76455115"
67,1996,8,Ia,"26,44425902","3,959390863","62,51572327","14,37267543"
68,1996,9,Ia,0,0,0,0
69,1996,10,Ia,0,0,0,0
70,1996,11,Ia,"5,355432711",0,"20,32590051","4,023081086"
71,1996,12,Ia,0,0,0,0
72,1997,1,Ia,0,0,0,0
73,1997,2,Ia,0,0,0,0
74,1997,3,Ia,"15,10372293","5,367008682","30,43478261","4,937393518"
75,1997,4,Ia,"24,57400408","7,815845824","46,04938272","8,033909518"
76,1997,5,Ia,0,0,0,0
77,1997,6,Ia,0,0,0,0
78,1997,7,Ia,"0,4227599976",0,"11,4334471","1,562221034"
79,1997,8,Ia,"4,766942733",0,"16,39950678","4,251618262"
80,1997,9,Ia,"0,01502163481",0,"4,840613932","0,2467426064"
81,1997,10,Ia,0,0,0,0
82,1997,11,Ia,0,0,0,0
83,1997,12,Ia,"0,02486263376",0,"2,173913043","0,1705700552"
84,1998,1,Ia,"1,374408604",0,"9,554140127","2,320384526"
85,1998,2,Ia,0,0,0,0
86,1998,3,Ia,0,0,0,0
87,1998,4,Ia,0,0,0,0
88,1998,5,Ia,0,0,0,0
89,1998,6,Ia,"0,7233121987",0,"11,35029354","1,993035627"
90,1998,7,Ia,"0,1276178302",0,"6,993006993","0,656041674"
91,1998,8,Ia,0,0,0,0
92,1998,9,Ia,0,0,0,0
93,1998,10,Ia,0,0,0,0
94,1998,11,Ia,"40,94324786","14,92957746","63,80165289","10,75875735"
95,1998,12,Ia,"1,057552524",0,"13,72391653","2,086126039"
96,1999,1,Ia,0,0,0,0
97,1999,2,Ia,"0,914011695",0,"15,36905966","2,167205209"
98,1999,3,Ia,"3,191064387",0,"16,6015625","4,506054585"
99,1999,4,Ia,"1,605302744",0,"15,590743","3,478059559"
100,1999,5,Ia,0,0,0,0
101,1999,6,Ia,0,0,0,0
102,1999,7,Ia,0,0,0,0
103,1999,8,Ia,"55,65479616","30,63414634","82,85052144","9,292046671"
104,1999,9,Ia,"16,99106996",0,"37,5751503","8,802667364"
105,1999,10,Ia,"10,32278955",0,"53,69863014","12,16576553"
106,1999,11,Ia,"52,65591046","21,95439739","78,447564","7,320836131"
107,1999,12,Ia,"10,62182017",0,"35,07462687","8,820022784"
108,2000,1,Ia,"0,8643902984",0,"14,26294821","2,259606625"
109,2000,2,Ia,0,0,0,0
110,2000,3,Ia,"7,802771268",0,"24,85265226","5,821827466"
111,2000,4,Ia,"9,797419519",0,"41,89189189","12,55326395"
112,2000,5,Ia,"3,299426118",0,"32,86956522","7,964164779"
113,2000,6,Ia,0,0,0,0
114,2000,7,Ia,0,0,0,0
115,2000,8,Ia,"0,05985171062",0,"4,359313078","0,3395441082"
116,2000,9,Ia,0,0,0,0
117,2000,10,Ia,"0,0006270562469",0,"1,776198934","0,05269320587"
118,2000,11,Ia,"5,209234182",0,"17,77378815","3,945871785"
119,2000,12,Ia,"0,02493070062",0,"2,514193025","0,2142544601"
120,2001,1,Ia,"0,220103295",0,"5,780346821","0,6833694674"
121,2001,2,Ia,0,0,0,0
122,2001,3,Ia,"0,009605453621",0,"1,693227092","0,0882208039"
123,2001,4,Ia,"0,7548993563",0,"8,782201405","1,866917653"
124,2001,5,Ia,"1,082255182",0,"10,8892922","2,199954404"
125,2001,6,Ia,0,0,0,0
126,2001,7,Ia,"1,020852412",0,"14,89001692","2,46994707"
127,2001,8,Ia,"21,53460464","9,686346863","67,76960784","9,627466394"
128,2001,9,Ia,"8,801037655",0,"29,9086758","7,842493046"
129,2001,10,Ia,"4,321799075",0,"28,02101576","6,451517347"
130,2001,11,Ia,"8,477407451",0,"32,40223464","8,196939847"
131,2001,12,Ia,"9,530949418",0,"40,32258065","9,631184872"
132,2002,1,Ia,"0,09260582752",0,"5,664830842","0,5275129724"
133,2002,2,Ia,"5,383344463",0,"24,64589235","4,897165467"
134,2002,3,Ia,"7,687158536",0,"32,95238095","8,244190864"
135,2002,4,Ia,"18,17297788",0,"47,14285714","13,74401481"
136,2002,5,Ia,0,0,0,0
137,2002,6,Ia,"5,041967738",0,"34,61538462","8,784995372"
138,2002,7,Ia,"5,736557214",0,"45,65619224","9,989946572"
139,2002,8,Ia,0,0,0,0
140,2002,9,Ia,"2,865047923",0,"20,66666667","4,037756337"
141,2002,10,Ia,"1,783678081",0,"33,03411131","4,719628316"
142,2002,11,Ia,"0,1221993966",0,"5,27638191","0,5555808878"
143,2002,12,Ia,"0,5499523156",0,"7,305577376","1,376412775"
144,2003,1,Ia,0,0,0,0
145,2003,2,Ia,"0,005079343718",0,"2,248289345","0,09898085936"
146,2003,3,Ia,"6,338649638",0,"24,11143132","6,887528266"
147,2003,4,Ia,"0,8921026827",0,"13,37946943","2,398374501"
148,2003,5,Ia,"27,16728756","12,54801536","53,07346327","7,686931828"
149,2003,6,Ia,"0,0007944222119",0,"2,620967742","0,07045230073"
150,2003,7,Ia,"4,116984067",0,"21,1786372","5,710130396"
151,2003,8,Ia,"16,86021562","8,924731183","42,92929293","6,364114413"
152,2003,9,Ia,"0,186445767",0,"8,758314856","0,9891218784"
153,2003,10,Ia,"0,03959898592",0,"5,940594059","0,3381353352"
154,2003,11,Ia,"9,188333815",0,"40,03164557","7,992166957"
155,2003,12,Ia,0,0,0,0
156,2004,1,Ia,"0,4370882357",0,"8,728179551","1,233613769"
157,2004,2,Ia,"17,30016506",0,"49,95269631","10,74311074"
158,2004,3,Ia,"36,2545224","2,43183493","70,71622847","18,22155987"
159,2004,4,Ia,"3,853086204",0,"25,29960053","5,336621279"
160,2004,5,Ia,0,0,0,0
161,2004,6,Ia,0,0,0,0
162,2004,7,Ia,0,0,0,0
163,2004,8,Ia,"45,78104013","21,26745435","76,68789809","13,36635075"
164,2004,9,Ia,"31,84823329",0,"62,4602333","17,71336895"
165,2004,10,Ia,0,0,0,0
166,2004,11,Ia,"3,749667332",0,"17,10758377","3,718031107"
167,2004,12,Ia,"27,45631436","6,898734177","60,22187005","10,33585214"
168,2005,1,Ia,0,0,0,0
169,2005,2,Ia,"43,83637008","16,144746","81,58995816","11,69286938"
170,2005,3,Ia,"51,84053644",0,"88,01115242","16,65448136"
171,2005,4,Ia,"0,8667933299",0,"19,24577373","2,602315357"
172,2005,5,Ia,0,0,0,0
173,2005,6,Ia,0,0,0,0
174,2005,7,Ia,"2,85553905",0,"14,53287197","3,343890392"
175,2005,8,Ia,"22,01170368","4,457364341","63,2748538","11,20238274"
176,2005,9,Ia,0,0,0,0
177,2005,10,Ia,0,0,0,0
178,2005,11,Ia,"32,22102022","16,0690571","53,83373688","6,85906076"
179,2005,12,Ia,"29,39607363",0,"72,16653816","20,53833695"
180,2006,1,Ia,"1,075344906",0,"12,41830065","2,447376566"
181,2006,2,Ia,"7,17995404",0,"48,92996109","8,735631426"
182,2006,3,Ia,"0,8860729921",0,"10,12024048","2,196630524"
183,2006,4,Ia,"10,53448691",0,"35,04273504","7,577897691"
184,2006,5,Ia,"41,69213026","24,50980392","70,23411371","9,738594733"
185,2006,6,Ia,"22,06779684",0,"45,49180328","8,268711739"
186,2006,7,Ia,"33,3434858","17,10037175","61,40065147","7,253705842"
187,2006,8,Ia,"29,99472157",0,"72,24199288","22,42404514"
188,2006,9,Ia,0,0,0,0
189,2006,10,Ia,"0,1906165082",0,"8,909853249","0,8047746369"
190,2006,11,Ia,"2,470925604",0,"19,9628598","3,422277744"
191,2006,12,Ia,0,0,0,0
192,2007,1,Ia,0,0,0,0
193,2007,2,Ia,0,0,0,0
194,2007,3,Ia,"4,23473469",0,"14,05835544","3,154601568"
195,2007,4,Ia,"2,492383468",0,"18,50574713","4,977487328"
196,2007,5,Ia,0,0,0,0
197,2007,6,Ia,"28,92928469","16,21621622","52,734375","5,090301718"
198,2007,7,Ia,0,0,0,0
199,2007,8,Ia,"25,20944055","11,83162685","43,98395722","7,301037987"
200,2007,9,Ia,"54,22412869","10,34482759","92,24730128","20,73758745"
201,2007,10,Ia,"11,39130268",0,"66,78635548","13,35273764"
202,2007,11,Ia,"0,6453873756",0,"17,16772152","1,855012825"
203,2007,12,Ia,"0,1849299716",0,"5,995558845","0,7112917879"
204,2008,1,Ia,0,0,0,0
205,2008,2,Ia,0,0,0,0
206,2008,3,Ia,"20,4296116",0,"50,71942446","15,19643693"
207,2008,4,Ia,0,0,0,0
208,2008,5,Ia,"4,654678864",0,"11,8466899","3,011406047"
209,2008,6,Ia,0,0,0,0
210,2008,7,Ia,"16,4540175","9,778357236","27,86069652","3,280152804"
211,2008,8,Ia,0,0,0,0
212,2008,9,Ia,"4,847586078",0,"13,25301205","3,490287446"
213,2008,10,Ia,0,0,0,0
214,2008,11,Ia,"5,59007534",0,"25,20525452","4,267265655"
215,2008,12,Ia,"52,41192617","29,18069585","74,47670493","6,402837797"
216,2009,1,Ia,"0,0009418373426",0,"1,424979044","0,0407212116"
217,2009,2,Ia,0,0,0,0
218,2009,3,Ia,"25,56901505","7,431457431","66,7802385","10,05055083"
219,2009,4,Ia,"70,94027951","30,23041475","98,44617092","10,72672567"
220,2009,5,Ia,0,0,0,0
221,2009,6,Ia,0,0,0,0
222,2009,7,Ia,0,0,0,0
223,2009,8,Ia,"0,0001655330351",0,"0,2577319588","0,00949030687"
224,2009,9,Ia,0,0,0,0
225,2009,10,Ia,0,0,0,0
226,2009,11,Ia,"0,06998053636",0,"7,167235495","0,5104509831"
227,2009,12,Ia,0,0,0,0
228,2010,1,Ia,0,0,0,0
229,2010,2,Ia,0,0,0,0
230,2010,3,Ia,"0,0652296806",0,"4,480286738","0,4360042215"
231,2010,4,Ia,0,0,0,0
232,2010,5,Ia,0,0,0,0
233,2010,6,Ia,"6,779120349",0,"22,24448898","5,830183382"
234,2010,7,Ia,"0,08866186285",0,"9,210526316","0,6789924744"
235,2010,8,Ia,"36,31471941","13,3611691","73,90761548","14,11241912"
236,2010,9,Ia,0,0,0,0
237,2010,10,Ia,0,0,0,0
238,2010,11,Ia,"31,51306358","12,11118465","50,68493151","8,10065586"
239,2010,12,Ia,0,0,0,0
240,2011,1,Ia,"4,993208569",0,"20,69805195","5,14788494"
241,2011,2,Ia,0,0,0,0
242,2011,3,Ia,"10,49039545","3,769230769","24,75633528","2,919997349"
243,2011,4,Ia,"0,1690491384",0,"6,820950061","0,7296942411"
244,2011,5,Ia,"31,50574301","12,63736264","71,59090909","12,84906259"
245,2011,6,Ia,0,0,0,0
246,2011,7,Ia,0,0,0,0
247,2011,8,Ia,"8,960478495",0,"34,375","8,230891921"
248,2011,9,Ia,"30,62276126","6,954225352","58,62068966","14,14892223"
249,2011,10,Ia,0,0,0,0
250,2011,11,Ia,"10,0799654",0,"34,08","6,084473482"
251,2011,12,Ia,"50,92763997","20,62097247","72,33009709","8,596047541"
252,2012,1,Ia,"20,53034667",0,"74,296875","18,75853101"
253,2012,2,Ia,"5,81915183",0,"23,98968186","4,152888359"
254,2012,3,Ia,"31,7515097","9,695290859","49,18032787","6,485191774"
255,2012,4,Ia,0,0,0,0
256,2012,5,Ia,"6,739763285",0,"13,75579598","3,068872248"
257,2012,6,Ia,0,0,0,0
258,2012,7,Ia,"0,7519008403",0,"14,0077821","2,399765792"
259,2012,8,Ia,"36,12296945","10,59044049","72,63157895","15,85202167"
260,2012,9,Ia,"35,75596673","14,79967294","54,7151277","7,737648252"
261,2012,10,Ia,"0,1432366233",0,"8,849557522","0,8437227778"
262,2012,11,Ia,"18,54614827","3,236245955","49,30725346","9,783864636"
263,2012,12,Ia,"0,6592345451",0,"11,79645335","1,795352875"
264,2013,1,Ia,"19,37522848",0,"54,28983417","16,05212555"
265,2013,2,Ia,"2,388275905",0,"30,01988072","5,54682568"
266,2013,3,Ia,"0,5460563118",0,"9,50950951","1,561886116"
267,2013,4,Ia,0,0,0,0
268,2013,5,Ia,0,0,0,0
269,2013,6,Ia,0,0,0,0
270,2013,7,Ia,"2,337482038",0,"20,17857143","4,051800095"
271,2013,8,Ia,"29,50459331","1,598173516","74,2506812","18,85155344"
272,2013,9,Ia,"5,250929025",0,"28,33333333","7,486804573"
273,2013,10,Ia,0,0,0,0
274,2013,11,Ia,"12,22952079",0,"37,02479339","6,778301352"
275,2013,12,Ia,"37,06720696","23,29411765","52,32067511","5,191590071"
276,2014,1,Ia,"0,0003293340773",0,"1,110288675","0,02801101472"
277,2014,2,Ia,"0,05345086195",0,"7,580919932","0,4883332104"
278,2014,3,Ia,0,0,0,0
279,2014,4,Ia,"0,1066895326",0,"4,738154613","0,4920760834"
280,2014,5,Ia,0,0,0,0
281,2014,6,Ia,0,0,0,0
282,2014,7,Ia,0,0,0,0
283,2014,8,Ia,"27,74991518","10,95755183","59,51807229","10,96542399"
284,2014,9,Ia,0,0,0,0
285,2014,10,Ia,"11,77312388",0,"40,68745004","10,36057476"
286,2014,11,Ia,"3,305763767",0,"21,10726644","4,662392213"
287,2014,12,Ia,"0,03838065362",0,"3,467741935","0,249375914"
288,2015,1,Ia,0,0,0,0
289,2015,2,Ia,0,0,0,0
290,2015,3,Ia,"1,833539986",0,"9,170731707","2,154958037"
291,2015,4,Ia,"3,420649783",0,"20,21403092","5,306429482"
292,2015,5,Ia,0,0,0,0
293,2015,6,Ia,"2,280265869",0,"24,2248062","5,10288344"
294,2015,7,Ia,0,0,0,0
295,2015,8,Ia,"1,983930989",0,"19,54436451","4,880148007"
296,2015,9,Ia,0,0,0,0
297,2015,10,Ia,0,0,0,0
298,2015,11,Ia,0,0,0,0
299,2015,12,Ia,0,0,0,0
300,2016,1,Ia,0,0,0,0
301,2016,2,Ia,0,0,0,0
302,2016,3,Ia,"3,388465914",0,"16,83626272","4,767547686"
303,2016,4,Ia,"6,781847517",0,"27,73019272","6,31427143"
304,2016,5,Ia,0,0,0,0
305,2016,6,Ia,"0,548246642",0,"13,08203991","1,888468101"
306,2016,7,Ia,"2,003977164",0,"14,28571429","3,05985776"
