,ano,mes,variavel,media,min,max,desvio
0,1991,1,Ia,0,0,0,0
1,1991,2,Ia,"22,01753258","12,85598047","41,76744186","6,188409481"
2,1991,3,Ia,0,0,0,0
3,1991,4,Ia,0,0,0,0
4,1991,5,Ia,"2,584930335",0,"8,741258741","1,59129777"
5,1991,6,Ia,0,0,0,0
6,1991,7,Ia,"3,568218125",0,"8,793456033","1,813026858"
7,1991,8,Ia,"2,346882185",0,"11,65354331","2,565526852"
8,1991,9,Ia,"0,07167744002",0,"2,442333786","0,3771512546"
9,1991,10,Ia,0,0,0,0
10,1991,11,Ia,"8,260436653","4,709576138","11,92825112","1,308243311"
11,1991,12,Ia,0,0,0,0
12,1992,1,Ia,"0,7639340079",0,"4,66893039","0,9287755173"
13,1992,2,Ia,0,0,0,0
14,1992,3,Ia,0,0,0,0
15,1992,4,Ia,0,0,0,0
16,1992,5,Ia,0,0,0,0
17,1992,6,Ia,0,0,0,0
18,1992,7,Ia,0,0,0,0
19,1992,8,Ia,0,0,0,0
20,1992,9,Ia,0,0,0,0
21,1992,10,Ia,0,0,0,0
22,1992,11,Ia,"7,204437117","5,012744265","9,398496241","0,7184879007"
23,1992,12,Ia,"29,90751101","19,74877879","39,64174455","3,136087261"
24,1993,1,Ia,0,0,0,0
25,1993,2,Ia,"0,6250018099",0,"5,476190476","0,9616044872"
26,1993,3,Ia,0,0,0,0
27,1993,4,Ia,0,0,0,0
28,1993,5,Ia,0,0,0,0
29,1993,6,Ia,0,0,0,0
30,1993,7,Ia,0,0,0,0
31,1993,8,Ia,"24,17037032","19,70509383","28,125","0,7911767459"
32,1993,9,Ia,0,0,0,0
33,1993,10,Ia,0,0,0,0
34,1993,11,Ia,0,0,0,0
35,1993,12,Ia,0,0,0,0
36,1994,1,Ia,0,0,0,0
37,1994,2,Ia,0,0,0,0
38,1994,3,Ia,"1,736996158",0,"9,120171674","2,000281179"
39,1994,4,Ia,0,0,0,0
40,1994,5,Ia,0,0,0,0
41,1994,6,Ia,0,0,0,0
42,1994,7,Ia,0,0,0,0
43,1994,8,Ia,"4,51588173",0,"17,61978362","3,725319507"
44,1994,9,Ia,0,0,0,0
45,1994,10,Ia,0,0,0,0
46,1994,11,Ia,"0,7167935123",0,"7,795957652","1,62620019"
47,1994,12,Ia,0,0,0,0
48,1995,1,Ia,0,0,0,0
49,1995,2,Ia,0,0,0,0
50,1995,3,Ia,0,0,0,0
51,1995,4,Ia,0,0,0,0
52,1995,5,Ia,"11,21638493","7,570422535","18,73767258","1,482228168"
53,1995,6,Ia,0,0,0,0
54,1995,7,Ia,0,0,0,0
55,1995,8,Ia,0,0,0,0
56,1995,9,Ia,0,0,0,0
57,1995,10,Ia,0,0,0,0
58,1995,11,Ia,"29,04782694","16,57754011","50,08726003","8,246156706"
59,1995,12,Ia,"0,4845556108",0,"5,165456013","1,124063972"
60,1996,1,Ia,0,0,0,0
61,1996,2,Ia,0,0,0,0
62,1996,3,Ia,0,0,0,0
