CM,KT,TH,ZC,estado,lat,lon,municipio,KT_nome,TH_nome,CM_nome
44.0,6.0,4.0,6701.0,Parana,-25.96009381969834,-50.12756374361736,Antonio Olinto,Cfb,B2,TE-SB
54.0,5.0,5.0,7701.0,Parana,-23.57170063598918,-51.445688676940875,Apucarana,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.43956963527952,-51.43083876311044,Arapongas,Cfa,B1,ST-SB
54.0,5.0,5.0,6701.0,Parana,-24.095755998577165,-49.97129056843969,Arapoti,Cfa,B1,ST-SB
54.0,5.0,5.0,7801.0,Parana,-24.342889523651873,-51.81722970490522,Arapua,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.95506448944045,-52.576466981472535,Araruna,Cfa,B1,ST-SB
44.0,6.0,4.0,6701.0,Parana,-25.604969936681382,-49.44231491033618,Araucaria,Cfb,B2,TE-SB
54.0,5.0,5.0,7801.0,Parana,-24.376993236989666,-51.53702162149531,Ariranha Do Ivai,Cfa,B1,ST-SB
54.0,5.0,5.0,7601.0,Parana,-23.407406302644542,-50.87466862808969,Assai,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.42580258623949,-53.58351313409039,Assis Chateaubriand,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.249470863065923,-51.69896029598928,Astorga,Cfa,B1,ST-SB
54.0,5.0,6.0,7601.0,Parana,-23.12802687944233,-52.0638700653777,Atalaia,Cfa,C2 (Subúmido),ST-SB
44.0,6.0,4.0,6801.0,Parana,-25.518045960709433,-49.69338755907608,Balsa Nova,Cfb,B2,TE-SB
54.0,5.0,6.0,7601.0,Parana,-23.159503330307782,-50.346271061388386,Bandeirantes,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.075758318247303,-52.03864893883746,Barbosa Ferraz,Cfa,B1,ST-SB
54.0,5.0,6.0,7601.0,Parana,-23.10506013380549,-50.1593385850829,Barra Do Jacare,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,3.0,6901.0,Parana,-26.241908430713966,-53.519212482667626,Barracao,Cfa,B3,ST-SB
54.0,5.0,3.0,6801.0,Parana,-25.880407446406785,-53.63361857818678,Bela Vista Do Caroba,Cfa,B3,ST-SB
64.0,3.0,6.0,7601.0,Parana,-23.00413808718452,-51.23480342228881,Bela Vista Do Paraiso,BSh,C2 (Subúmido),TR-SB
44.0,6.0,3.0,5901.0,Parana,-26.170427998184792,-51.52454412973263,Bituruna,Cfb,B3,TE-SB
54.0,5.0,5.0,7701.0,Parana,-24.255841644600213,-52.747322857525695,Boa Esperanca,Cfa,B1,ST-SB
54.0,5.0,3.0,6801.0,Parana,-25.639586036122544,-53.225372443202986,Boa Esperanca Do Iguacu,Cfa,B3,ST-SB
54.0,6.0,4.0,6801.0,Parana,-24.85672317507604,-51.56843653231792,Boa Ventura De Sao Roque,Cfb,B2,ST-SB
54.0,5.0,4.0,7801.0,Parana,-25.43266098078551,-53.42118635347359,Boa Vista Da Aparecida,Cfa,B2,ST-SB
54.0,6.0,2.0,6801.0,Parana,-25.114230004894996,-48.93272682020478,Bocaiuva Do Sul,Cfb,B4,ST-SB
54.0,5.0,3.0,6901.0,Parana,-26.159463843088123,-53.558840856194564,Bom Jesus Do Sul,Cfa,B3,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.71266702285502,-51.82362800284434,Bom Sucesso,Cfa,B1,ST-SB
54.0,5.0,3.0,6801.0,Parana,-26.084413561472672,-52.83758885653265,Bom Sucesso Do Sul,Cfa,B3,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.938595016521305,-51.589836154016155,Borrazopolis,Cfa,B1,ST-SB
54.0,5.0,4.0,6801.0,Parana,-24.805170453203203,-53.091972801765934,Braganey,Cfa,B2,ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.166286313334595,-53.5402438695913,Brasilandia Do Sul,Cfa,B1,ST-SB
64.0,3.0,6.0,7601.0,Parana,-22.810681847610088,-51.71224159334099,Cafeara,BSh,C2 (Subúmido),TR-SB
54.0,5.0,4.0,6801.0,Parana,-24.698163552252915,-53.366233654521075,Cafelandia,Cfa,B2,ST-SB
54.0,5.0,6.0,7601.0,Parana,-23.981440242980874,-53.57535063961108,Cafezal Do Sul,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.66737619258017,-51.334323327272344,California,Cfa,B1,ST-SB
54.0,5.0,6.0,7601.0,Parana,-22.996351533747795,-50.083796033264356,Cambara,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.180489859512114,-51.28425743320313,Cambe,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.631043773817918,-51.56584125869474,Cambira,Cfa,B1,ST-SB
54.0,5.0,4.0,7801.0,Parana,-24.60777679062426,-52.78275947275158,Campina Da Lagoa,Cfa,B2,ST-SB
44.0,6.0,3.0,6901.0,Parana,-25.13060458649609,-51.78031643622133,Campina Do Simao,Cfb,B3,TE-SB
54.0,5.0,2.0,6901.0,Parana,-25.185792861539486,-48.84433052479307,Campina Grande Do Sul,Cfa,B4,ST-SB
54.0,5.0,4.0,6801.0,Parana,-24.931120798371616,-53.01374204441723,Campo Bonito,Cfa,B2,ST-SB
44.0,6.0,4.0,6701.0,Parana,-25.97729785910995,-49.65590425492028,Campo Do Tenente,Cfb,B2,TE-SB
54.0,6.0,3.0,6801.0,Parana,-25.292319229775877,-49.61967781933465,Campo Largo,Cfb,B3,ST-SB
