,ano,mes,variavel,media,min,max,desvio
0,1991,1,Ia,0,0,0,0
1,1991,2,Ia,"28,38216177",0,"72,79489904","18,74078043"
2,1991,3,Ia,"2,690943312",0,"38,27751196","6,691803794"
3,1991,4,Ia,"0,00002302264383",0,"0,4207573633","0,01283006516"
4,1991,5,Ia,"5,21628873",0,"20,3539823","3,154527359"
5,1991,6,Ia,0,0,0,0
6,1991,7,Ia,"8,467705959",0,"33,86773547","10,14853948"
7,1991,8,Ia,"10,52128683",0,"40,7345576","9,691918402"
8,1991,9,Ia,"1,744494817",0,"20,02923977","4,19799864"
9,1991,10,Ia,0,0,0,0
10,1991,11,Ia,"7,02056508",0,"21,82741117","3,880741198"
11,1991,12,Ia,0,0,0,0
12,1992,1,Ia,"0,420734034",0,"5,309734513","0,8579318438"
13,1992,2,Ia,0,0,0,0
14,1992,3,Ia,0,0,0,0
15,1992,4,Ia,"2,326622179",0,"22,48175182","5,341130284"
16,1992,5,Ia,0,0,0,0
17,1992,6,Ia,"2,288145701",0,"20,26726058","5,418467309"
18,1992,7,Ia,0,0,0,0
19,1992,8,Ia,"0,04932687215",0,"4,247104247","0,379835854"
20,1992,9,Ia,0,0,0,0
21,1992,10,Ia,"0,272738572",0,"10,29239766","1,044042476"
22,1992,11,Ia,"5,787753527",0,"14,70281543","2,49716258"
23,1992,12,Ia,"21,29710375","7,016434893","42,70403957","6,331149622"
24,1993,1,Ia,0,0,0,0
25,1993,2,Ia,"2,487708597",0,"15,16290727","3,087990485"
26,1993,3,Ia,0,0,0,0
27,1993,4,Ia,"2,26714744",0,"16,49635036","4,562841928"
28,1993,5,Ia,0,0,0,0
29,1993,6,Ia,0,0,0,0
30,1993,7,Ia,0,0,0,0
31,1993,8,Ia,"20,09235426","3,367003367","32,94892916","5,568100314"
32,1993,9,Ia,0,0,0,0
33,1993,10,Ia,0,0,0,0
34,1993,11,Ia,"0,1146110797",0,"5,982905983","0,6945144213"
35,1993,12,Ia,0,0,0,0
36,1994,1,Ia,0,0,0,0
37,1994,2,Ia,0,0,0,0
38,1994,3,Ia,"5,88372278",0,"17,99544419","4,152778443"
39,1994,4,Ia,0,0,0,0
40,1994,5,Ia,0,0,0,0
41,1994,6,Ia,0,0,0,0
42,1994,7,Ia,"3,665224649",0,"26,64092664","8,338644555"
43,1994,8,Ia,"19,89328081",0,"67,25806452","13,82599622"
44,1994,9,Ia,"13,17944533",0,"101,9858156","30,18997353"
45,1994,10,Ia,0,0,0,0
46,1994,11,Ia,"3,00536229",0,"21,83235867","5,024249332"
47,1994,12,Ia,0,0,0,0
48,1995,1,Ia,0,0,0,0
49,1995,2,Ia,0,0,0,0
50,1995,3,Ia,0,0,0,0
51,1995,4,Ia,"0,005583678597",0,"2,191780822","0,1039396861"
52,1995,5,Ia,"13,50950727",0,"23,95209581","4,862383768"
53,1995,6,Ia,0,0,0,0
54,1995,7,Ia,"0,0001510837343",0,"0,4024144869","0,01185858932"
55,1995,8,Ia,"2,943735062",0,"17,51937984","3,90888435"
56,1995,9,Ia,0,0,0,0
57,1995,10,Ia,0,0,0,0
58,1995,11,Ia,"35,81576492",0,"95,10869565","22,56596207"
59,1995,12,Ia,"0,1138349915",0,"4,986149584","0,5287036596"
60,1996,1,Ia,0,0,0,0
61,1996,2,Ia,0,0,0,0
62,1996,3,Ia,0,0,0,0
63,1996,4,Ia,"6,625832812",0,"16,91394659","3,514529899"
64,1996,5,Ia,"11,62577068","0,6722689076","25,5186722","5,017702931"
65,1996,6,Ia,0,0,0,0
66,1996,7,Ia,"1,496913305",0,"14,78873239","3,136977026"
67,1996,8,Ia,"0,6755762246",0,"15,32258065","2,1349579"
68,1996,9,Ia,0,0,0,0
69,1996,10,Ia,0,0,0,0
70,1996,11,Ia,"1,452016137",0,"14,54352442","2,694348299"
71,1996,12,Ia,0,0,0,0
72,1997,1,Ia,0,0,0,0
73,1997,2,Ia,0,0,0,0
74,1997,3,Ia,"15,21372194","6,068376068","23,58916479","2,299844849"
75,1997,4,Ia,"12,23045923",0,"29,95780591","4,717300354"
76,1997,5,Ia,"0,326858855",0,"12,03007519","1,341060295"
77,1997,6,Ia,0,0,0,0
78,1997,7,Ia,0,0,0,0
79,1997,8,Ia,"0,03838789584",0,"3,086419753","0,2520086792"
80,1997,9,Ia,0,0,0,0
81,1997,10,Ia,0,0,0,0
82,1997,11,Ia,0,0,0,0
83,1997,12,Ia,0,0,0,0
84,1998,1,Ia,0,0,0,0
85,1998,2,Ia,0,0,0,0
86,1998,3,Ia,0,0,0,0
87,1998,4,Ia,0,0,0,0
88,1998,5,Ia,0,0,0,0
89,1998,6,Ia,0,0,0,0
90,1998,7,Ia,0,0,0,0
91,1998,8,Ia,0,0,0,0
92,1998,9,Ia,0,0,0,0
93,1998,10,Ia,0,0,0,0
94,1998,11,Ia,"39,43198389","12,76264591","67,23952739","11,51521255"
95,1998,12,Ia,"0,4320579726",0,"5,352112676","0,8614750074"
96,1999,1,Ia,0,0,0,0
97,1999,2,Ia,"0,3458945021",0,"4,545454545","0,7106769902"
98,1999,3,Ia,"3,880875481",0,"10,47297297","2,292213501"
99,1999,4,Ia,"0,001984088507",0,"4,103343465","0,1421689598"
100,1999,5,Ia,"0,04601335679",0,"2,727272727","0,2812689659"
101,1999,6,Ia,0,0,0,0
102,1999,7,Ia,0,0,0,0
103,1999,8,Ia,"38,11321045","20,3030303","70,19667171","9,893338195"
104,1999,9,Ia,0,0,0,0
105,1999,10,Ia,0,0,0,0
106,1999,11,Ia,"18,19214326",0,"59,43600868","12,71180638"
107,1999,12,Ia,"0,3135667304",0,"8,936970837","1,157551269"
108,2000,1,Ia,0,0,0,0
109,2000,2,Ia,0,0,0,0
110,2000,3,Ia,"0,2222699316",0,"9,87224158","1,126158756"
111,2000,4,Ia,"7,78396417",0,"30,70761015","9,374253681"
112,2000,5,Ia,"7,593526955",0,"61,12149533","16,86579034"
113,2000,6,Ia,0,0,0,0
114,2000,7,Ia,0,0,0,0
115,2000,8,Ia,0,0,0,0
116,2000,9,Ia,0,0,0,0
117,2000,10,Ia,0,0,0,0
118,2000,11,Ia,"3,118240837",0,"17,49435666","3,742755108"
119,2000,12,Ia,0,0,0,0
120,2001,1,Ia,0,0,0,0
121,2001,2,Ia,0,0,0,0
122,2001,3,Ia,0,0,0,0
123,2001,4,Ia,0,0,0,0
124,2001,5,Ia,0,0,0,0
125,2001,6,Ia,0,0,0,0
126,2001,7,Ia,0,0,0,0
127,2001,8,Ia,"6,084639791",0,"17,70186335","3,037974382"
128,2001,9,Ia,0,0,0,0
129,2001,10,Ia,0,0,0,0
130,2001,11,Ia,"3,031439715",0,"16,17647059","3,678910919"
131,2001,12,Ia,"6,740461418",0,"33,91136802","6,964402606"
132,2002,1,Ia,0,0,0,0
133,2002,2,Ia,"9,250411537",0,"36,98630137","6,57888168"
134,2002,3,Ia,"2,079571488",0,"14,74558671","3,203188254"
135,2002,4,Ia,"0,7279337958",0,"9,090909091","1,893793548"
136,2002,5,Ia,0,0,0,0
137,2002,6,Ia,"1,78289601",0,"20,35175879","4,612632649"
138,2002,7,Ia,"0,2171541271",0,"6,823027719","0,9195334066"
139,2002,8,Ia,0,0,0,0
140,2002,9,Ia,0,0,0,0
141,2002,10,Ia,0,0,0,0
142,2002,11,Ia,0,0,0,0
143,2002,12,Ia,0,0,0,0
144,2003,1,Ia,0,0,0,0
145,2003,2,Ia,0,0,0,0
146,2003,3,Ia,"0,1257192954",0,"5,989304813","0,6822553278"
147,2003,4,Ia,0,0,0,0
148,2003,5,Ia,"22,99089171","11,76470588","37,56521739","4,812704911"
149,2003,6,Ia,0,0,0,0
